FID,Location,Type,Name_of_Co,Multinatio
0, ,Fashion Design,Dior,Y
1, ,Fashion Design,Dior,Y
2, ,Fashion Design,DIor,Y
3, ,Fashion Design,Dior,Y
4, ,Fashion Design,H&M,Y
5, ,Craft,Rocca 1794,Y
6, ,Fashion Design,Chanel,Y
7, ,Fashion Design,Asnaghi Giacinto Snc,Y
8, ,Fashion Design,Ader,"Y
Y"
9, ,Fashion Design,Patagonia,Y
10, ,Art,Museum,N
11, ,Art,Gallary,N
12, ,Art,Museum,N
13, ,Craft,Antonio Patriarca,Y
14, ,Art,Gallary,N
15, ,Art,Gallary,N
16, ,Craft,Moroni Gomma,N
17, ,Film,Cinema,N
18, ,Art,Gallary,N
19, ,Art,Gallary,N
20, ,Fashion Design,Outlet Matia's,Y
21, ,Art,Gallary,N
22, ,Fashion Design,SEEDS Le Nouveau Né Milano,Y
23, ,Fashion Design,Babi Butti Srl,N
24, ,Fashion Design,Gas Bijoux,Y
25, ,Craft,Faliero Sarti,N
26, ,Art,Gallary,N
27, ,Fashion Design,Amina Rubinacci S.R.L.,N
28, ,Fashion Design,Libero Milano,N
29, ,Art,Showroom,N
30, ,Fashion Design,Mes Demoiselles... Paris,Y
31, ,Craft,Glasses,N
32, ,Fashion Design,L'OCCITANE EN PROVENCE,Y
33, ,Fashion Design,Cloth,N
34, ,Art,Showroom,N
35, ,FD,Cloth,N
36, ,FD,Cloth,N
37, ,FD,Cloth,N
38, ,FD,Cloth,N
39, ,FD,Cloth,N
40, ,Art,Gallary,N
41, ,Art,Gallary,N
42, ,FD,Reart,N
43, ,IT,Vodafone,Y
44, ,Art,Theator,N
45, ,Art,Theator,N
46, ,Craft,Città Del Sole,Y
47, ,FD,Cloth,N
48, ,FD,Cloth,N
49, ,Craft,Giolina and Angelo,N
50, ,Craft,Jewel,N
51, ,FD,Memphis – Galleria Post Design,N
52, ,FD,Showroom,N
53, ,Art,Museum,N
54, ,FD,Cloth,N
55, ,FD,Lanieri,Y
