Label,Longitude,Latitude
Milan,9.19,45.466944
Rome,12.5,41.8
Paris,2.352222,48.856613
London,-0.1275,51.507222
Madrid,-3.716667,40.383333
Berlin,13.405,52.52
Munich,11.566667,48.133333
Barcelona,2.183333,41.383333
Vienna,16.366667,48.2
Brussels,4.35,50.85
Amsterdam,4.9,52.366667
Nurenmburg,11.083333,49.45
Frankfurt,8.683333,50.116667
Hamburg,10.001389,53.565278
Moscow,37.617222,55.755833
Zurich,8.55,47.366667
Lisbon,-9.150019,38.725267
Istanbul,28.955,41.013611
Geneva,6.15,46.2
Praha,14.416667,50.083333
Koln,6.952778,50.936389
Stuttgart,9.183333,48.783333
Lyon,4.84,45.76
Liverpool,-2.983333,53.4
Luxembourg,6.131667,49.814444
Copenhagen,12.568333,55.676111
Saint Petersburg,30.308611,59.9375
Warsaw,21.016667,52.233333
Athens,23.727806,37.983972
Kiev,30.523333,50.45
Antwerp,4.400278,51.217778
Stockholm,18.068611,59.329444
Nice,7.2663,43.7034
Dusseldorf,6.783333,51.233333
Basel,7.590556,47.554722
Budapest,19.051389,47.4925
Bilbao,-2.923611,43.256944
Porto,-8.621953,41.162142
Rotterdam,4.5,51.916667
Marseille,5.37,43.2964
Helsinki,24.9375,60.170833
Oslo,10.752222,59.913889
Hague,4.316667,52.083333
Seville,-5.99,37.39
Lille,3.0583,50.6278
Edinhoven,5.469722,51.441642
Belgrade,20.466667,44.816667
Bremen,8.8,53.083333
Talin,24.745278,59.437222
Zagreb,15.983333,45.816667
Riga,24.106389,56.948889
Minsk,27.566667,53.9
,,
New York,-74.0059731,40.7143528
Tokyo,139.732,35.709
Singapore,103.833333,1.283333
Hong Kong,114.1,22.2
Shanghai,121.474722,31.228611
Beijing,116.3975,39.906667
Sydney,151.209444,-33.865
Dubai,55.309444,25.269722
