unit,facility,geo\time	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 
P_HTHAB,HBEDT,AT11	589.98 	577.56 	568.08 	566.62 	538.96 	599.50 	606.51 	601.63 	593.41 	602.79 	620.24 	604.67 
P_HTHAB,HBEDT,AT12	689.56 	695.96 	695.76 	708.29 	698.22 	701.69 	700.72 	707.48 	701.18 	688.49 	672.58 	673.91 
P_HTHAB,HBEDT,AT13	803.91 	790.37 	797.71 	791.90 	802.65 	788.07 	793.22 	799.93 	815.66 	795.94 	783.58 	756.47 
P_HTHAB,HBEDT,AT21	944.86 	929.79 	910.10 	899.42 	893.65 	888.71 	877.13 	863.93 	858.40 	836.87 	810.00 	818.84 
P_HTHAB,HBEDT,AT22	902.84 	901.97 	899.73 	887.94 	877.57 	871.61 	863.65 	837.32 	827.61 	816.83 	821.95 	815.22 
P_HTHAB,HBEDT,AT31	741.79 	734.16 	730.27 	734.32 	731.07 	720.67 	710.22 	694.11 	684.49 	676.60 	689.64 	686.75 
P_HTHAB,HBEDT,AT32	905.33 	909.52 	904.47 	908.77 	924.55 	959.12 	952.57 	942.54 	918.49 	918.47 	898.13 	883.01 
P_HTHAB,HBEDT,AT33	684.69 	676.56 	679.66 	657.57 	691.14 	699.56 	703.24 	697.65 	681.76 	675.15 	674.68 	669.66 
P_HTHAB,HBEDT,AT34	593.55 	570.54 	569.47 	561.23 	598.20 	600.11 	593.94 	590.02 	581.33 	569.80 	562.98 	537.63 
P_HTHAB,HBEDT,BE10	850.50 	815.48 	803.03 	773.48 	751.80 	740.51 	731.75 	714.43 	735.56 	726.38 	716.30 	711.51 e
P_HTHAB,HBEDT,BE21	589.94 	616.96 	588.26 	604.41 	595.83 	591.51 	585.93 	578.47 	575.05 	570.43 	560.25 	553.86 e
P_HTHAB,HBEDT,BE22	533.71 	528.96 	526.78 	522.03 	517.66 	510.20 	494.79 	494.29 	492.03 	489.11 	485.08 	483.36 e
P_HTHAB,HBEDT,BE23	673.45 	669.09 	663.50 	652.91 	646.65 	637.38 	632.76 	628.71 	621.60 	615.68 	608.44 	603.80 e
P_HTHAB,HBEDT,BE24	480.81 	476.64 	471.44 	468.23 	463.07 	451.71 	445.89 	443.19 	433.94 	429.96 	425.09 	423.95 e
P_HTHAB,HBEDT,BE25	723.14 	719.58 	702.57 	710.93 	708.82 	702.09 	694.95 	692.44 	691.73 	689.05 	683.68 	674.19 e
P_HTHAB,HBEDT,BE31	357.82 	355.34 	352.51 	347.50 	343.75 	341.24 	338.58 	258.79 	256.79 	252.55 	236.63 	234.80 e
P_HTHAB,HBEDT,BE32	664.83 	664.46 	662.96 	642.22 	651.88 	648.48 	644.22 	641.57 	638.96 	626.24 	607.79 	606.88 e
