"indic_sb,nace_r2,geo\time"	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
"V97120,R_S,AT"	4.52 p	5.03 p	4.29	4.09	3.71	2.83	2.85	3	2.97	3.03
"V97120,R_S,AT1"	5.13 p	5.73 p	4.64	4.36	3.73	2.89	2.72	2.94	2.91	2.77
"V97120,R_S,AT11"	5.31 p	4.73 p	5.02	5.35	3.92	3.85	3.55	3.87	4.26	4.49
"V97120,R_S,AT111"	2.33 p	: c	3.19	6.9	: c	3.31	: c	4	3.27	4.04
"V97120,R_S,AT112"	7.35 p	4.93 p	5.72	4.72	3.4	3.96	3.45	2.85	4.27	3.81
"V97120,R_S,AT113"	2.69 p	: c	4.53	5.75	: c	3.8	: c	6.52	4.68	6.52
"V97120,R_S,AT12"	4.41 p	4.68 p	4.16	4.34	3.61	3.34	2.91	3.41	3.05	3.41
"V97120,R_S,AT121"	4.84 p	5.79 p	5.17	4.07	3.11	3.87	3.24	4.08	3.71	4.82
"V97120,R_S,AT122"	6.36 p	4.92 p	3.93	4.21	3.89	4.73	4.61	4.72	5.72	4.74
"V97120,R_S,AT123"	3.59 p	5.10 p	4.97	4.77	5.88	1.48	1.26	1.43	1.08	2.29
"V97120,R_S,AT124"	3.58 p	4.33 p	3.72	2.34	3.86	3.72	3.34	3.74	3.39	2.57
"V97120,R_S,AT125"	3.87 p	4.92 p	3.6	3.94	1.74	3	3.15	3.29	2.86	3.34
"V97120,R_S,AT126"	3.70 p	5.26 p	4.09	4.21	4.42	3.64	3.52	4.53	4.09	4.91
"V97120,R_S,AT127"	4.64 p	3.86 p	4.04	5.42	2.88	3.61	2.71	3.34	2.53	2.78
"V97120,R_S,AT13"	5.54 p	6.46 p	4.87	4.27	3.78	2.64	2.58	2.7	2.77	2.41
"V97120,R_S,AT130"	5.54 p	6.46 p	4.87	4.27	3.78	2.64	2.58	2.7	2.77	2.41
"V97120,R_S,AT2"	3.97 p	4.67 p	3.63	4.01	4.03	2.82	2.99	2.91	3.32	3.41
"V97120,R_S,AT21"	4.55 p	4.64 p	4.36	4.24	4.37	3.34	3.83	3.66	4.1	3.18
"V97120,R_S,AT211"	4.70 p	4.70 p	4.7	4.19	3.8	2.74	2.81	3.01	3.82	3.1
"V97120,R_S,AT212"	3.82 p	4.26 p	5.05	4.09	5.6	3.7	6.12	5.18	4.75	2.7
"V97120,R_S,AT213"	4.86 p	4.88 p	2.56	4.6	4.98	5.62	5.95	5.1	4.8	4
"V97120,R_S,AT22"	3.72 p	4.69 p	3.3	3.89	3.87	2.59	2.63	2.59	2.98	3.51
"V97120,R_S,AT221"	3.45 p	5.45 p	3.15	4.54	3.8	2.22	2.05	1.91	2.18	2.51
"V97120,R_S,AT222"	2.71 p	3.34 p	2.44	3.46	7.84	3.16	2.85	2.87	3.62	5.99
"V97120,R_S,AT223"	6.30 p	4.68 p	4.93	5.33	5.29	3.61	3.89	3.67	4.81	5.04
"V97120,R_S,AT224"	2.89 p	2.88 p	2.15	2.77	3.03	2.57	3.34	2.38	3.6	3.63
"V97120,R_S,AT225"	6.17 p	6.08 p	5.67	4.87	3.89	4.51	3.78	4.76	4.3	5.58
"V97120,R_S,AT226"	2.54 p	5.00 p	3.14	1.76	2.3	1.66	2.56	4.59	3.87	5.07
"V97120,R_S,AT3"	3.90 p	4.17 p	4.13	3.71	3.5	2.72	2.99	3.14	2.87	3.24
"V97120,R_S,AT31"	4.21 p	4.64 p	4.43	3.95	3.65	2.69	2.54	2.54	2.38	3.04
"V97120,R_S,AT311"	4.11 p	4.75 p	4.26	3.07	3.92	4.09	3.51	3.6	3.16	4.06
