unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
NR,AT	1908 p	2078 	2282 	2260 	2409 	2234 	1986 	2210 	1823 	2300 	1725 	1376 	1309 	808 
NR,AT1	333 p	384 	439 	434 	555 	391 	308 	292 	364 	383 	285 	382 	345 	293 
NR,AT11	16 p	5 	47 	29 	31 	43 	37 	23 	14 	14 	9 	26 	11 	6 
NR,AT111	: 	: 	12 	: 	2 	2 	15 	7 	8 	7 	1 	2 	: 	1 
NR,AT112	11 p	: 	24 	13 	6 	16 	8 	3 	4 	1 	2 	4 	4 	3 
NR,AT113	5 p	5 	11 	16 	23 	25 	14 	13 	2 	6 	6 	20 	7 	2 
NR,AT12	153 p	144 	200 	219 	286 	155 	128 	146 	173 	158 	122 	76 	167 	129 
NR,AT121	23 p	28 	26 	13 	55 	36 	47 	15 	6 	16 	32 	8 	32 	45 
NR,AT122	20 p	35 	22 	52 	97 	40 	8 	16 	28 	23 	9 	9 	18 	2 
NR,AT123	25 p	23 	35 	24 	3 	3 	19 	22 	56 	15 	9 	12 	13 	46 
NR,AT124	21 p	2 	15 	10 	10 	4 	19 	7 	35 	23 	38 	1 	33 	24 
NR,AT125	: 	: 	11 	: 	: 	: 	2 	: 	: 	1 	1 	9 	: 	: 
NR,AT126	13 p	10 	29 	56 	31 	16 	3 	28 	16 	36 	5 	15 	1 	1 
NR,AT127	51 p	46 	62 	64 	90 	56 	30 	58 	32 	44 	28 	22 	70 	11 
NR,AT13	164 p	235 	192 	186 	238 	193 	143 	123 	177 	211 	154 	280 	167 	158 
NR,AT130	164 p	235 	192 	186 	238 	193 	143 	123 	177 	211 	154 	280 	167 	158 
NR,AT2	253 p	206 	297 	383 	398 	349 	364 	304 	196 	216 	179 	140 	111 	118 
NR,AT21	57 p	74 	35 	138 	150 	133 	189 	153 	62 	61 	95 	62 	24 	65 
NR,AT211	43 p	70 	6 	116 	79 	96 	169 	96 	51 	59 	56 	57 	20 	59 
NR,AT212	: 	1 	6 	16 	20 	25 	12 	12 	5 	2 	31 	5 	: 	: 
NR,AT213	14 p	3 	23 	6 	51 	12 	8 	45 	6 	: 	8 	: 	4 	6 
NR,AT22	196 p	132 	262 	245 	248 	216 	175 	151 	134 	155 	84 	78 	87 	53 
NR,AT221	112 p	53 	151 	111 	143 	70 	54 	57 	52 	46 	29 	27 	59 	9 
NR,AT222	3 p	5 	30 	1 	7 	9 	7 	1 	1 	8 	1 	6 	9 	2 
NR,AT223	6 p	18 	: 	18 	: 	4 	5 	14 	4 	4 	10 	10 	3 	2 
NR,AT224	60 p	52 	73 	106 	79 	113 	97 	67 	51 	82 	32 	20 	13 	25 
NR,AT225	14 p	2 	7 	7 	11 	17 	2 	4 	19 	12 	8 	11 	3 	15 
NR,AT226	1 p	2 	1 	2 	8 	3 	10 	8 	7 	3 	4 	4 	: 	: 
NR,AT3	1298 p	1464 	1522 	1423 	1447 	1484 	1309 	1581 	1245 	1645 	1221 	834 	816 	396 
NR,AT31	495 p	501 	558 	467 	449 	518 	450 	727 	383 	436 	418 	330 	379 	233 
NR,AT311	153 p	173 	155 	173 	159 	159 	128 	119 	112 	64 	32 	46 	32 	20 
NR,AT312	92 p	170 	160 	160 	112 	140 	85 	219 	164 	95 	189 	109 	106 	101 
NR,AT313	47 p	17 	7 	30 	38 	54 	28 	31 	8 	42 	119 	4 	104 	2 
NR,AT314	89 p	91 	160 	54 	96 	73 	80 	197 	65 	123 	31 	100 	49 	77 
NR,AT315	114 p	50 	76 	50 	44 	92 	129 	161 	34 	112 	47 	71 	88 	33 
NR,AT32	107 p	257 	133 	287 	321 	280 	284 	238 	226 	202 	96 	59 	53 	47 
NR,AT321	: 	: 	7 	2 	: 	4 	5 	1 	3 	9 	: 	: 	1 	: 
NR,AT322	20 p	77 	32 	40 	25 	9 	28 	23 	47 	94 	30 	7 	23 	5 
NR,AT323	87 p	180 	94 	245 	296 	267 	251 	214 	176 	99 	66 	52 	29 	42 
NR,AT33	608 p	591 	682 	484 	534 	583 	433 	543 	529 	864 	675 	412 	317 	91 
NR,AT331	: 	: 	27 	44 	29 	1 	: 	9 	1 	: 	: 	: 	: 	: 
NR,AT332	68 p	83 	103 	146 	52 	44 	107 	88 	69 	75 	79 	65 	46 	76 
NR,AT333	6 p	10 	18 	9 	3 	1 	3 	9 	: 	: 	3 	21 	7 	6 
NR,AT334	10 p	19 	4 	78 	65 	2 	: 	8 	7 	4 	4 	3 	4 	1 
NR,AT335	524 p	479 	530 	207 	385 	535 	323 	429 	452 	785 	589 	323 	260 	8 
NR,AT34	88 p	115 	149 	185 	143 	103 	142 	73 	107 	143 	32 	33 	67 	25 
NR,AT341	10 p	20 	4 	13 	17 	1 	8 	1 	2 	9 	6 	3 	44 	2 
NR,AT342	78 p	95 	145 	172 	126 	102 	134 	72 	105 	134 	26 	30 	23 	23 
NR,ATX	24 p	24 	24 	20 	9 	10 	5 	33 	18 	56 	40 	20 	37 	1 
NR,ATXX	24 p	24 	24 	20 	9 	10 	5 	33 	18 	56 	40 	20 	37 	1 
NR,ATXXX	24 p	24 	24 	20 	9 	10 	5 	33 	18 	56 	40 	20 	37 	1 
NR,BE	859 p	969 	1069 	1012 	1190 	1476 	1250 	1110 	1041 	1172 	1067 	1482 	1053 	586 
NR,BE1	36 p	64 	72 	97 	331 	532 	358 	112 	159 	208 	152 	187 	191 	70 
NR,BE10	36 p	64 	72 	97 	331 	532 	358 	112 	159 	208 	152 	187 	191 	70 
