unit,iccs,geo\time	2010 	2009 	2008 
NR,ICCS0101,AT	56 	43 	46 
NR,ICCS0101,AT1	33 	23 	21 
NR,ICCS0101,AT11	5 	0 	2 
NR,ICCS0101,AT12	11 	4 	4 
NR,ICCS0101,AT13	17 	19 	15 
NR,ICCS0101,AT130	17 	19 	15 
NR,ICCS0101,AT2	6 	7 	7 
NR,ICCS0101,AT21	3 	4 	1 
NR,ICCS0101,AT22	3 	3 	6 
NR,ICCS0101,AT3	17 	13 	18 
NR,ICCS0101,AT31	10 	4 	11 
NR,ICCS0101,AT32	4 	5 	3 
NR,ICCS0101,AT33	3 	2 	2 
NR,ICCS0101,AT34	0 	2 	2 
NR,ICCS0101,BE	184 	186 	202 
NR,ICCS0101,BE1	30 	33 	44 
NR,ICCS0101,BE10	30 	33 	44 
NR,ICCS0101,BE100	30 	33 	44 
NR,ICCS0101,BE2	71 	88 	83 
NR,ICCS0101,BE21	30 	36 	38 
NR,ICCS0101,BE211	22 	28 	25 
NR,ICCS0101,BE212	7 	6 	8 
NR,ICCS0101,BE213	1 	2 	5 
NR,ICCS0101,BE22	11 	12 	16 
NR,ICCS0101,BE221	6 	6 	12 
NR,ICCS0101,BE222	1 	3 	2 
NR,ICCS0101,BE223	4 	3 	2 
NR,ICCS0101,BE23	8 	26 	13 
NR,ICCS0101,BE231	1 	4 	4 
NR,ICCS0101,BE232	: 	4 	1 
NR,ICCS0101,BE234	5 	13 	5 
NR,ICCS0101,BE235	: 	1 	: 
NR,ICCS0101,BE236	2 	4 	3 
NR,ICCS0101,BE24	10 	5 	6 
NR,ICCS0101,BE241	7 	5 	4 
NR,ICCS0101,BE242	3 	: 	2 
NR,ICCS0101,BE25	12 	9 	10 
NR,ICCS0101,BE251	: 	2 	2 
NR,ICCS0101,BE252	: 	1 	: 
NR,ICCS0101,BE253	1 	: 	1 
NR,ICCS0101,BE254	4 	3 	1 
NR,ICCS0101,BE255	3 	3 	4 
NR,ICCS0101,BE256	3 	: 	1 
NR,ICCS0101,BE257	1 	: 	: 
NR,ICCS0101,BE258	: 	: 	1 
NR,ICCS0101,BE3	83 	65 	75 
NR,ICCS0101,BE31	10 	1 	7 
NR,ICCS0101,BE310	10 	1 	7 
NR,ICCS0101,BE32	30 	24 	29 
NR,ICCS0101,BE321	1 	2 	: 
NR,ICCS0101,BE322	9 	8 	10 
NR,ICCS0101,BE323	7 	6 	10 
NR,ICCS0101,BE324	2 	: 	1 
NR,ICCS0101,BE325	3 	: 	5 
NR,ICCS0101,BE326	4 	4 	3 
NR,ICCS0101,BE327	4 	4 	: 
NR,ICCS0101,BE33	28 	26 	32 
NR,ICCS0101,BE331	2 	1 	5 
NR,ICCS0101,BE332	19 	23 	26 
NR,ICCS0101,BE334	3 	: 	: 
NR,ICCS0101,BE335	2 	2 	1 
NR,ICCS0101,BE336	2 	: 	: 
NR,ICCS0101,BE34	6 	5 	2 
NR,ICCS0101,BE341	2 	1 	1 
