"nace_r2,unit,sex,geo\time"	2019	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
"HTC,PC_EMP,T,AT11"	2.8 u	: bu	: u	2.5 u	3.4 u	3.1 u	: u	2.3 u	2.6 u	3.0 u	3.2 u	3.8 u
"HTC,PC_EMP,T,AT12"	3.2	3.5 b	3.8	3.4	3.4	3.3	3.4	4.2	4.3	4.7	4.9	3.9
"HTC,PC_EMP,T,AT13"	6.6	5.7 b	6.6	6.8	6.2	5.8	6.9	7.5	6.3	6.5	6.8	7
"HTC,PC_EMP,T,AT21"	4.7	3.7 b	3.5	3.5	3.9	3.8	3.7	3.2	3.2	3.9	4.2	4.3
"HTC,PC_EMP,T,AT22"	3.5	2.9 b	3.2	3.2	2.5	2.6	3	3.2	3.8	4.1	3.9	3.8
"HTC,PC_EMP,T,AT31"	3.2	2.7 b	2.1	2.3	2.3	2.6	2.7	2.8	2.8	3.3	3.1	3
"HTC,PC_EMP,T,AT32"	2.8	2.5 b	2.4	2.5	2.4	2.7	2.8	2.5	2.9	3.2	2.9	2.7
"HTC,PC_EMP,T,AT33"	3.6	3.1 b	3.1	2.8	3	3.4	3.4	3.6	3.8	3.9	3.5	3.3
"HTC,PC_EMP,T,AT34"	2.1 u	2.4 bu	2.6 u	2.6 u	2.6 u	2.5 u	2.4 u	2.5 u	2.6 u	2.4 u	2.7 u	2.3 u
"HTC,PC_EMP,T,BE10"	6.6	6.4 b	5.8	7.1	6.4 b	7	5.6	6.3	6.2	5.8	6.1 b	7.4
"HTC,PC_EMP,T,BE21"	6.4	4.7 b	5.4	5.9	5.4 b	5.7	5.3	5.3	4.8	5	5.5 b	5.8
"HTC,PC_EMP,T,BE22"	3.5	3.2 b	3.2	3.3	2.9 b	3.3	3	2.9	3.1	2.8	3.0 b	2.5
"HTC,PC_EMP,T,BE23"	5	3.7 b	3.6	4	3.9 b	3.7	4.3	4.1	3.9	4	4.6 b	4.4
"HTC,PC_EMP,T,BE24"	6.5	6.3 b	6.7	7	6.6 b	7.1	6.2	6.1	6	6.5	7.0 b	6.5
"HTC,PC_EMP,T,BE25"	2.8	2.6 b	2.3	2.3	2.6 b	2.7	2.9	2.3	2.4	2.7	2.8 b	2.6
"HTC,PC_EMP,T,BE31"	8.6	9.9 b	9.1	8.9	10.1 b	9.2	7.7	8.2	8.7	7.2	6.7 b	7.8
"HTC,PC_EMP,T,BE32"	4.1	3.9 b	3.4	3.4	3.7 b	3.7	3.3	3.5	3.6	3.4	3.2 b	4.3
"HTC,PC_EMP,T,BE33"	3.7	2.9 b	3.8	3.1	3.6 b	3.2	2.9	3.4	4	2.6	2.4 b	3.5
"HTC,PC_EMP,T,BE34"	2.7 u	2.9 bu	3.3 u	3.2 u	2.6 bu	3.2 u	2.7 u	3.0 u	2.8 u	2.3 u	3.5 bu	2.9 u
"HTC,PC_EMP,T,BE35"	5.9	4.1 b	4	4.8	5.1 b	4.2	4.9	3.5	3.5	4.8	5.5 b	5.9
"HTC,PC_EMP,T,BG31"	1.7 u	2.4 b	2.0 u	1.7 bu	2.0 bu	2.1 u	2.3 u	1.8 u	1.5 u	2.2 u	2.3 u	2.1
"HTC,PC_EMP,T,BG32"	2.9	2.2 b	1.8 u	2.1 bu	2.1 bu	1.7 u	1.9 u	1.6 u	2.3 u	1.7 u	1.3 u	2.4
"HTC,PC_EMP,T,BG33"	1.6	1.4 bu	1.4 u	1.7 bu	2.2 b	1.5 u	1.0 u	1.1 u	1.4 u	1.9	1.9	1.9
"HTC,PC_EMP,T,BG34"	1.0 u	1.3 bu	1.3 u	1.5 bu	1.4 bu	1.3 u	1.5 u	1.4 u	1.8 u	1.5 u	1.2 u	1.0 u
"HTC,PC_EMP,T,BG41"	7.8	5.9 b	5.4	5.7 b	5.6 b	6.1	6.7	6.7	7.7	8	7.6	7.9
"HTC,PC_EMP,T,BG42"	2.7	1.7 b	1.8	1.7 b	1.6 b	2	2	1.8	1.9	1.9	1.8	2
"HTC,PC_EMP,T,CH01"	5.8	4.6 b	4	4.1 b	4.4	4.5	4.7	5.4	5.1	4.9	5.5	5.9
"HTC,PC_EMP,T,CH02"	7	7.4 b	6.8	6.8 b	6.8	6.7	6.3	6.5	6.1	6.6	7.1	6.9
"HTC,PC_EMP,T,CH03"	7.8	7.5 b	8.5	7.4 b	7	7.4	7.6	7.8	7.7	7.7	7.9	7.4
"HTC,PC_EMP,T,CH04"	7.9	5.4 b	6.1	5.6 b	5.8	6.1	6.2	7.4	6.7	7	7.2	7.2
"HTC,PC_EMP,T,CH05"	5	3.5 b	3.9	4.1 b	4.1	4	4.4	4.7	4.1	4.3	4.3	4.6
"HTC,PC_EMP,T,CH06"	5.8	4.5 b	5.3	4.4 b	4.7	4.4	4.7	4.7	5.1	6.3	5.9	6.2
"HTC,PC_EMP,T,CH07"	4	4.6 b	4.5	4.6 b	4.2	3.5	3.6	4.6	5.3	4.6	4.4	4.2
"HTC,PC_EMP,T,CY00"	2.8	2.9 b	2.5 b	2.2	2.5	2.9	2.6	2.9	3	3	3.1	3.2
"HTC,PC_EMP,T,CZ01"	10.3	7.6 b	8.1	8	8.5 b	7.6	8.5	9.5	8.4	9.7	9.2	9.7
"HTC,PC_EMP,T,CZ02"	4.5	3.7 b	4.1	4.1	4.9 b	4.7	5	5	4.7	4.6	4.7	4.4
"HTC,PC_EMP,T,CZ03"	3.8	3.8 b	3.7	3.5	3.9 b	3.3	2.9	3	3.4	3.9	3.8	4
"HTC,PC_EMP,T,CZ04"	2	2.4 b	2.6	2.4	2.3 b	1.8	1.7	2.3	2.2	2	1.8	2.3
"HTC,PC_EMP,T,CZ05"	4.2	3.4 b	3.3	3.9	4.1 b	5	4.5	4.4	4.4	4.2	4.9	4.5
"HTC,PC_EMP,T,CZ06"	5.1	3.6 b	3.8	4.6	4.8 b	4.5	5.3	6	5.3	5	4.6	5.3
"HTC,PC_EMP,T,CZ07"	3.9	2.7 b	3	3.1	3.4 b	4	3.9	3.5	3.7	4.3	3.8	4.4
"HTC,PC_EMP,T,CZ08"	4	3.0 b	3	4	3.7 b	3.2	3.8	3.4	3.3	3.2	3.7	4.1
"HTC,PC_EMP,T,DE11"	4.6	4.5 b	5.2	4.7 b	4.5 b	4.6	4.3	4.5	4.4	4.3	4.5	4.6
