unit,geo\time	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 
EUR_BGDP,AT	8.8 	9.09 	9.06 	8.52 	8.6 	7.8 	6.82 	6.9 	6.89 	5.46 	5.48 	3.46 	3.34 	3.33 	3.52 
EUR_BGDP,AT1	8.99 	9.25 	9.32 	8.77 	8.5 	8.02 	6.79 	7.11 	7.81 	5.8 	6.67 	3.32 	3.54 	3.37 	3.94 
EUR_BGDP,AT11	7.46 	5.75 	5.07 	3.03 	5.57 	5.18 	3.94 	4.52 	4.95 	3.35 	3.39 	1.7 	1.74 	2.03 	1.47 
EUR_BGDP,AT111	: 	3.66 	6.4 	3.92 	4.12 	5.53 	2.8 	5.51 	2.84 	: 	: 	: 	8.08 	1.62 	1.69 
EUR_BGDP,AT112	: 	8.17 	5.64 	3.52 	7.1 	7.12 	4.94 	4.79 	5.06 	3.4 	4.69 	2.75 	1.42 	1.86 	1.91 
EUR_BGDP,AT113	: 	1.77 	3.55 	1.82 	3.31 	1.5 	2.52 	3.66 	5.58 	4.52 	2.3 	0.58 	: 	2.47 	0.64 
EUR_BGDP,AT12	8.93 	8.27 	8.55 	9.59 	8.75 	7.58 	6.62 	5.51 	5.14 	5.47 	4.27 	2.71 	1.98 	2.05 	1.91 
EUR_BGDP,AT121	: 	5.39 	5.19 	3.72 	5.21 	4.5 	1.39 	1.91 	2.23 	3.49 	1.71 	3.2 	1.24 	2.86 	0.84 
EUR_BGDP,AT122	: 	5.12 	6.82 	4.94 	5.78 	3.09 	2.19 	3.36 	1.39 	3.61 	1.89 	2.16 	0.4 	1.03 	1.71 
EUR_BGDP,AT123	: 	5.56 	6.02 	6.2 	3.67 	5.87 	1.89 	2.16 	2.3 	1.12 	3.51 	0.96 	0.75 	3.85 	2.41 
EUR_BGDP,AT124	: 	6.45 	4.13 	3.11 	5.75 	4.19 	7.13 	4.65 	7.06 	4.19 	3.55 	1.4 	2.87 	1.47 	0.76 
EUR_BGDP,AT125	: 	1.63 	2.56 	0.41 	0.9 	1.35 	0.89 	1.38 	0.5 	: 	2.08 	0.54 	1.13 	1.14 	: 
EUR_BGDP,AT126	: 	9.75 	7.87 	6.62 	5.16 	4.21 	5.52 	3.31 	6.33 	7.34 	4.1 	3.18 	3.66 	1.38 	2.06 
EUR_BGDP,AT127	: 	13.55 	15.42 	22.42 	18.72 	16.32 	14.77 	11.89 	8.91 	9.53 	7.72 	4.18 	2.52 	2.19 	3.04 
