unit,geo\time	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 
NR,AT	2531 p	2966 	2897 	2935 	2873 	2631 	2534 	2231 	1990 	1947 	1837 	1381 	1324 	799 	755 	734 	750 	589 	535 	405 	729 
NR,AT1	1056 p	1185 	1286 	1303 	1289 	1188 	1108 	1019 	875 	882 	921 	649 	719 	343 	361 	333 	378 	265 	205 	174 	310 
NR,AT11	42 p	54 	57 	43 	37 	21 	37 	33 	25 	28 	29 	19 	19 	9 	9 	10 	7 	6 	7 	4 	11 
NR,AT111	5 p	5 	5 	3 	5 	3 	3 	4 	2 	4 	2 	: 	: 	: 	5 	1 	1 	2 	1 	: 	: 
NR,AT112	32 p	42 	46 	36 	24 	14 	27 	26 	18 	17 	17 	11 	15 	8 	4 	5 	5 	4 	5 	4 	9 
NR,AT113	5 p	7 	6 	4 	8 	4 	7 	3 	5 	7 	10 	8 	4 	1 	: 	4 	1 	: 	1 	: 	2 
NR,AT12	323 p	335 	457 	418 	425 	465 	404 	341 	306 	245 	213 	214 	162 	97 	69 	70 	64 	70 	49 	52 	76 
NR,AT121	32 p	26 	35 	38 	36 	25 	33 	28 	9 	12 	13 	19 	9 	16 	6 	14 	4 	4 	11 	3 	11 
NR,AT122	39 p	41 	97 	36 	47 	33 	37 	19 	14 	21 	8 	20 	10 	11 	2 	5 	8 	3 	3 	3 	5 
NR,AT123	27 p	22 	29 	33 	35 	35 	20 	31 	10 	11 	11 	5 	15 	4 	3 	15 	9 	15 	5 	10 	10 
NR,AT124	35 p	18 	49 	37 	23 	17 	30 	21 	37 	23 	33 	19 	16 	6 	12 	6 	3 	12 	1 	4 	6 
NR,AT125	6 p	10 	5 	4 	6 	1 	2 	3 	2 	3 	1 	: 	4 	1 	2 	2 	: 	4 	5 	1 	1 
NR,AT126	60 p	68 	77 	84 	66 	54 	39 	31 	42 	23 	41 	44 	24 	17 	19 	7 	10 	10 	7 	10 	9 
NR,AT127	124 p	150 	165 	186 	212 	300 	243 	208 	192 	152 	106 	107 	84 	42 	25 	21 	30 	22 	17 	21 	34 
NR,AT13	691 p	796 	772 	842 	827 	702 	667 	645 	544 	609 	679 	416 	538 	237 	283 	253 	307 	189 	149 	118 	223 
NR,AT130	691 p	796 	772 	842 	827 	702 	667 	645 	544 	609 	679 	416 	538 	237 	283 	253 	307 	189 	149 	118 	223 
NR,AT2	291 p	390 	344 	345 	303 	312 	341 	270 	210 	191 	176 	150 	137 	108 	83 	90 	79 	55 	68 	39 	88 
NR,AT21	88 p	125 	95 	89 	90 	79 	96 	79 	73 	55 	62 	31 	37 	21 	23 	26 	28 	20 	14 	17 	25 
NR,AT211	59 p	86 	68 	69 	61 	41 	61 	49 	53 	26 	40 	26 	21 	10 	14 	14 	13 	11 	9 	7 	13 
NR,AT212	17 p	12 	8 	6 	11 	15 	10 	10 	11 	10 	10 	2 	5 	1 	4 	2 	8 	6 	5 	3 	4 
NR,AT213	12 p	27 	19 	14 	18 	23 	25 	20 	9 	19 	12 	3 	11 	10 	5 	10 	7 	3 	: 	7 	8 
NR,AT22	203 p	265 	249 	256 	213 	233 	245 	191 	137 	136 	114 	119 	100 	87 	60 	64 	51 	35 	54 	22 	63 
NR,AT221	107 p	153 	138 	140 	107 	125 	130 	111 	81 	81 	64 	68 	67 	49 	46 	41 	26 	20 	35 	15 	44 
NR,AT222	8 p	8 	13 	10 	12 	11 	16 	10 	7 	7 	11 	3 	5 	5 	1 	1 	4 	2 	3 	1 	: 
NR,AT223	19 p	18 	14 	13 	19 	14 	32 	14 	9 	12 	7 	6 	11 	11 	5 	8 	8 	3 	2 	2 	10 
NR,AT224	24 p	33 	44 	48 	43 	40 	30 	24 	12 	18 	15 	21 	11 	10 	3 	4 	7 	5 	2 	2 	3 
NR,AT225	42 p	42 	26 	28 	24 	37 	34 	30 	24 	14 	13 	19 	3 	9 	3 	4 	1 	2 	2 	1 	5 
NR,AT226	3 p	11 	14 	17 	8 	6 	3 	2 	4 	4 	4 	2 	3 	3 	2 	6 	5 	3 	10 	1 	1 
NR,AT3	1069 p	1253 	1144 	1161 	1152 	979 	962 	802 	745 	749 	668 	516 	452 	333 	296 	298 	284 	261 	255 	190 	316 
NR,AT31	427 p	541 	454 	512 	469 	423 	411 	349 	286 	322 	253 	224 	193 	135 	113 	152 	108 	86 	128 	79 	149 
NR,AT311	67 p	87 	54 	64 	94 	66 	49 	44 	35 	45 	35 	20 	21 	7 	3 	14 	14 	4 	12 	15 	14 
NR,AT312	203 p	313 	264 	240 	217 	225 	219 	163 	143 	191 	139 	132 	120 	93 	78 	111 	68 	56 	76 	39 	83 
NR,AT313	41 p	40 	38 	65 	50 	19 	24 	24 	15 	11 	23 	13 	5 	7 	8 	2 	2 	1 	1 	2 	4 
NR,AT314	29 p	21 	38 	44 	45 	33 	40 	42 	39 	28 	15 	21 	7 	4 	8 	2 	6 	13 	16 	5 	18 
NR,AT315	87 p	80 	60 	99 	63 	80 	79 	76 	54 	47 	41 	38 	40 	24 	16 	23 	18 	12 	23 	18 	30 
NR,AT32	247 p	266 	263 	238 	292 	202 	230 	178 	176 	156 	167 	115 	115 	83 	63 	49 	64 	59 	50 	54 	55 
NR,AT321	1 p	3 	6 	4 	1 	: 	5 	1 	1 	3 	: 	1 	2 	1 	: 	: 	: 	: 	: 	: 	: 
NR,AT322	50 p	32 	36 	28 	48 	35 	32 	27 	23 	21 	19 	22 	16 	16 	16 	9 	6 	6 	2 	10 	8 
NR,AT323	196 p	231 	221 	206 	243 	167 	193 	150 	152 	132 	148 	92 	97 	66 	47 	40 	58 	53 	48 	44 	47 
NR,AT33	221 p	252 	270 	250 	240 	233 	193 	156 	176 	166 	142 	108 	84 	84 	58 	40 	56 	67 	50 	23 	67 
NR,AT331	6 p	13 	22 	4 	11 	15 	4 	5 	10 	8 	5 	18 	3 	2 	7 	2 	2 	5 	7 	3 	1 
NR,AT332	101 p	130 	139 	117 	122 	89 	93 	66 	65 	67 	49 	40 	22 	36 	24 	17 	26 	29 	22 	6 	36 
NR,AT333	3 p	3 	7 	3 	6 	2 	: 	7 	1 	4 	5 	1 	1 	5 	2 	: 	2 	1 	1 	1 	3 
NR,AT334	15 p	16 	18 	46 	34 	20 	16 	14 	16 	12 	15 	6 	10 	6 	4 	4 	6 	3 	1 	: 	3 
NR,AT335	96 p	90 	84 	80 	67 	107 	80 	64 	84 	75 	68 	43 	48 	35 	21 	17 	20 	29 	19 	13 	24 
NR,AT34	174 p	194 	157 	161 	151 	121 	128 	119 	107 	105 	106 	69 	60 	31 	62 	57 	56 	49 	27 	34 	45 
NR,AT341	11 p	27 	19 	15 	26 	18 	21 	12 	10 	8 	10 	2 	1 	3 	5 	5 	7 	6 	3 	2 	1 
