indic_is,unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUSE,PC_IND,AT11	61 	62 	64 	68 	71 	71 	76 	: 	77 	83 	83 	78 
I_IUSE,PC_IND,AT12	63 	68 	70 	74 	74 	74 	74 	: 	81 	84 	84 	88 
I_IUSE,PC_IND,AT13	73 	70 	74 	82 	79 	80 	84 	: 	87 	88 	89 	88 
I_IUSE,PC_IND,AT21	60 	60 	64 	72 	71 	71 	71 	: 	77 	79 	83 	84 
I_IUSE,PC_IND,AT22	63 	63 	69 	71 	74 	75 	71 	: 	76 	84 	83 	84 
I_IUSE,PC_IND,AT31	64 	68 	67 	75 	75 	79 	78 	: 	83 	83 	84 	85 
I_IUSE,PC_IND,AT32	67 	72 	70 	76 	80 	77 	81 	: 	81 	88 	86 	86 
I_IUSE,PC_IND,AT33	64 	64 	73 	75 	72 	77 	78 	: 	81 	86 	86 	88 
I_IUSE,PC_IND,AT34	67 	68 	72 	82 	81 	81 	82 	: 	85 	86 	86 	88 
I_IUSE,PC_IND,BE10	66 	69 	74 	79 	78 	78 	81 	84 	85 	86 	87 	88 
I_IUSE,PC_IND,BE21	71 	73 	79 	81 	79 	84 	86 	84 	87 	89 	91 	91 
I_IUSE,PC_IND,BE22	69 	69 	73 	80 	79 	81 	89 	85 	85 	87 	85 	91 
I_IUSE,PC_IND,BE23	69 	72 	74 	78 	80 	83 	85 	84 	86 	84 	89 	88 
I_IUSE,PC_IND,BE24	72 	75 	78 	81 	84 	85 	86 	86 	86 	89 	89 	94 
I_IUSE,PC_IND,BE25	60 	74 	77 	79 	79 	81 	85 	83 	85 	88 	88 	89 
I_IUSE,PC_IND,BE31	76 	81 	81 	85 	90 	85 	86 	91 	88 	88 	92 	92 
I_IUSE,PC_IND,BE32	57 	62 	70 	74 	69 	73 	75 	81 	76 	79 	81 	82 
I_IUSE,PC_IND,BE33	60 	66 	71 	70 	71 	76 	77 	78 	82 	81 	85 	88 
I_IUSE,PC_IND,BE34	59 	69 	67 	72 	74 	73 	79 	83 	81 	87 	83 	88 
I_IUSE,PC_IND,BE35	60 	63 	72 	81 	74 	78 	83 	81 	79 	84 	84 	86 
I_IUSE,PC_IND,BG31	24 	34 	36 	39 	38 	43 	45 	40 	54 	57 	58 	62 
I_IUSE,PC_IND,BG32	31 	35 	40 	43 	48 	48 	55 	55 	56 	64 	62 	69 
I_IUSE,PC_IND,BG33	29 	35 	36 	37 	46 	48 	52 	53 	59 	61 	66 	65 
I_IUSE,PC_IND,BG34	27 	40 	36 	43 	49 	46 	46 	51 	52 	58 	61 	63 
I_IUSE,PC_IND,BG41	45 	52 	55 	61 	61 	63 	64 	65 	63 	68 	69 	74 
I_IUSE,PC_IND,BG42	30 	32 	35 	41 	47 	45 	48 	50 	57 	59 	59 	61 
I_IUSE,PC_IND,CH01	: 	: 	: 	: 	: 	: 	86 	: 	: 	91 b	: 	95 
I_IUSE,PC_IND,CH02	: 	: 	: 	: 	: 	: 	84 	: 	: 	92 b	: 	94 
I_IUSE,PC_IND,CH03	: 	: 	: 	: 	: 	: 	86 	: 	: 	92 b	: 	96 
I_IUSE,PC_IND,CH04	: 	: 	: 	: 	: 	: 	91 	: 	: 	93 b	: 	97 
I_IUSE,PC_IND,CH05	: 	: 	: 	: 	: 	: 	87 	: 	: 	91 b	: 	95 
I_IUSE,PC_IND,CH06	: 	: 	: 	: 	: 	: 	87 	: 	: 	90 b	: 	93 
I_IUSE,PC_IND,CH07	: 	: 	: 	: 	: 	: 	78 	: 	: 	86 b	: 	93 
I_IUSE,PC_IND,CY00	: 	45 	50 	54 	58 	62 	65 	70 	74 	79 	84 	85 
I_IUSE,PC_IND,CZ01	70 	: 	73 	72 	72 	77 	88 	90 	89 	90 	93 b	95 
I_IUSE,PC_IND,CZ02	56 	: 	63 	66 	71 	77 	77 	79 	82 	85 	84 b	89 
I_IUSE,PC_IND,CZ03	50 	: 	56 	60 	66 	67 	75 	79 	80 	81 	83 b	86 
I_IUSE,PC_IND,CZ04	42 	: 	54 	57 	58 	62 	66 	69 	71 	74 	78 b	77 
I_IUSE,PC_IND,CZ05	48 	: 	51 	66 	68 	72 	75 	78 	77 	77 	81 b	83 
I_IUSE,PC_IND,CZ06	49 	: 	61 	63 	70 	72 	75 	75 	77 	80 	84 b	82 
I_IUSE,PC_IND,CZ07	45 	: 	58 	56 	63 	69 	72 	73 	75 	78 	81 b	81 
I_IUSE,PC_IND,CZ08	47 	: 	51 	62 	65 	65 	76 	74 	78 	79 	86 b	84 
I_IUSE,PC_IND,DK01	86 	86 	90 	90 	92 	94 	94 	94 	96 	97 	96 	96 
I_IUSE,PC_IND,DK02	79 	79 	82 	85 	86 	89 	92 	93 	94 	93 	93 	94 
I_IUSE,PC_IND,DK03	77 	79 	86 	85 	87 	88 	90 	94 	92 	96 	95 	95 
I_IUSE,PC_IND,DK04	81 	84 	84 	89 	90 	91 	92 	93 	94 	95 	97 	96 
I_IUSE,PC_IND,DK05	74 	81 	83 	87 	86 	90 	88 	90 	94 	93 	95 	94 
I_IUSE,PC_IND,EE00	61 	67 	71 	73 	74 	77 	82 b	86 	85 	86 	87 	88 
I_IUSE,PC_IND,ES11	37 	44 	47 	53 	57 	60 	65 	67 	71 	72 	76 	80 
I_IUSE,PC_IND,ES12	47 	51 	56 	62 	57 	67 	69 	73 	72 	77 	83 	85 
I_IUSE,PC_IND,ES13	50 	54 	57 	65 	66 	70 	70 	75 	77 	77 	80 	86 
I_IUSE,PC_IND,ES21	52 	56 	60 	66 	71 	72 	77 	78 	82 	82 	83 	88 
I_IUSE,PC_IND,ES22	48 	57 	57 	65 	66 	66 	71 	75 	79 	82 	83 	91 
