unit,nstr24,geo\time	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 
THS_T,01,AT111	44 	19 	18 	19 	13 	10 	12 	14 	9 
THS_T,01,AT112	193 	40 	104 	145 	52 	150 	104 	105 	73 
THS_T,01,AT113	66 	31 	119 	26 	42 	35 	42 	61 	54 
THS_T,01,AT121	71 	71 	64 	50 	103 	57 	42 	40 	41 
THS_T,01,AT122	7 	48 	23 	32 	14 	16 	14 	14 	10 
THS_T,01,AT123	68 	57 	79 	52 	61 	29 	141 	27 	58 
THS_T,01,AT124	93 	196 	186 	178 	140 	163 	120 	120 	204 
THS_T,01,AT125	171 	304 	257 	111 	314 	182 	235 	237 	322 
THS_T,01,AT126	240 	201 	259 	136 	271 	180 	109 	156 	143 
THS_T,01,AT127	49 	67 	80 	49 	89 	61 	67 	96 	140 
THS_T,01,AT13	: 	: 	: 	: 	23 	23 	21 	19 	50 
THS_T,01,AT130	80 	40 	88 	25 	23 	23 	21 	19 	50 
THS_T,01,AT211	10 	67 	10 	5 	20 	29 	11 	12 	29 
THS_T,01,AT212	1 	: z	2 	4 	6 	6 	15 	6 	17 
THS_T,01,AT213	46 	15 	22 	28 	34 	6 	54 	19 	55 
THS_T,01,AT221	8 	37 	11 	7 	14 	21 	25 	19 	20 
THS_T,01,AT222	: 	: 	: z	: 	: 	: 	: z	3 	: 
THS_T,01,AT223	: 	8 	3 	: z	4 	1 	1 	2 	1 
THS_T,01,AT224	43 	14 	22 	14 	25 	61 	54 	27 	25 
THS_T,01,AT225	32 	16 	20 	14 	24 	47 	30 	20 	41 
THS_T,01,AT226	: 	7 	9 	10 	11 	7 	3 	4 	8 
THS_T,01,AT311	107 	68 	62 	63 	81 	57 	60 	47 	54 
THS_T,01,AT312	152 	319 	203 	159 	205 	147 	260 	198 	149 
THS_T,01,AT313	29 	54 	17 	53 	37 	15 	7 	15 	10 
THS_T,01,AT314	13 	20 	56 	23 	41 	41 	13 	14 	6 
THS_T,01,AT315	26 	14 	5 	5 	11 	4 	9 	4 	11 
THS_T,01,AT321	: 	: 	: 	: 	: 	: 	: 	1 	: 
THS_T,01,AT322	21 	10 	16 	17 	14 	14 	10 	7 	16 
THS_T,01,AT323	39 	8 	12 	23 	22 	18 	21 	30 	7 
THS_T,01,AT331	1 	: 	: z	: 	: 	: 	: z	: z	: z
THS_T,01,AT332	: 	7 	6 	5 	2 	22 	25 	40 	7 
THS_T,01,AT333	: 	11 	1 	: 	: 	2 	2 	: 	: 
THS_T,01,AT334	: 	: 	: z	: z	: 	: 	: z	4 	6 
THS_T,01,AT335	6 	9 	5 	14 	4 	1 	2 	13 	5 
THS_T,01,AT341	: 	: 	: z	: 	1 	2 	3 	2 	2 
THS_T,01,AT342	: 	10 	7 	1 	27 	1 	2 	11 	3 
THS_T,01,BE1	: 	: 	: 	: 	2 	18 	: 	8 	13 
THS_T,01,BE100	4 	1 	2 	9 	2 	18 	: 	8 	13 
THS_T,01,BE211	325 	225 	182 	102 	288 	247 	398 	728 	106 
THS_T,01,BE212	2 	5 	18 	4 	11 	6 	9 	5 	35 
THS_T,01,BE213	42 	22 	50 	51 	40 	76 	53 	61 	17 
THS_T,01,BE221	33 	37 	13 	54 	51 	47 	44 	19 	9 
THS_T,01,BE222	14 	14 	11 	5 	8 	6 	67 	20 	18 
THS_T,01,BE223	26 	17 	4 	29 	73 	33 	59 	23 	41 
THS_T,01,BE231	10 	55 	45 	30 	37 	28 	12 	83 	14 
THS_T,01,BE232	5 	5 	7 	2 	12 	17 	: 	12 	4 
THS_T,01,BE233	7 	20 	19 	45 	26 	4 	3 	: 	5 
THS_T,01,BE234	136 	111 	121 	160 	256 	320 	439 	420 	393 
THS_T,01,BE235	37 	29 	17 	26 	16 	5 	17 	20 	61 
THS_T,01,BE236	27 	3 	29 	12 	44 	15 	12 	27 	6 
THS_T,01,BE241	51 	36 	38 	53 	120 	23 	58 	27 	42 
THS_T,01,BE242	145 	89 	209 	78 	338 	268 	88 	110 	117 
