indic_env,wst_oper,geo\time	2018 	2016 	2014 	2012 	2010 	2008 	2006 	2004 
CAP,DSP_I,AT	100000 	100000 	100000 	100000 	1872000 	1551000 	1666130 	2509116 
CAP,DSP_I,AT1	100000 	100000 	100000 	100000 	1476000 	1150000 	880000 	1196600 
CAP,DSP_I,AT11	0 	0 	0 	0 	0 	0 	0 	: c
CAP,DSP_I,AT12	0 	0 	0 	0 	680000 	430000 	300000 	: c
CAP,DSP_I,AT13	100000 	100000 	100000 	100000 	796000 	720000 	580000 	836500 
CAP,DSP_I,AT2	0 	0 	0 	0 	96000 	96000 	181130 	374116 
CAP,DSP_I,AT21	0 	0 	0 	0 	96000 	96000 	80000 	149950 
CAP,DSP_I,AT22	0 	0 	0 	0 	0 	0 	101130 	224166 
CAP,DSP_I,AT3	0 	0 	0 	0 	300000 	305000 	605000 	938400 
CAP,DSP_I,AT31	0 	0 	0 	0 	300000 	305000 	605000 	868400 
CAP,DSP_I,AT32	0 	0 	0 	0 	0 	0 	0 	: c
CAP,DSP_I,AT33	0 	0 	0 	0 	0 	0 	0 	0 
CAP,DSP_I,AT34	0 	0 	0 	0 	0 	0 	0 	0 
CAP,DSP_I,BE	1037947 	1976955 e	2030865 	2023779 e	3512336 	4083836 	3499010 	3191404 
CAP,DSP_I,BE1	0 	0 	0 	0 	0 	571500 	535000 	530000 
CAP,DSP_I,BE10	0 	0 	0 	0 	0 	571500 	535000 	: c
CAP,DSP_I,BE2	970537 	1007805 	1061715 	1054629 	2543186 	2543186 	1994860 	1706636 
CAP,DSP_I,BE21	162817 	157069 	194815 	175955 	344211 	344211 	283500 	330302 
CAP,DSP_I,BE22	17100 	28500 	36100 	53200 	140713 	140713 	78000 	132602 
CAP,DSP_I,BE23	667114 	668076 	648009 	653379 	1438328 	1438328 	1197860 	679373 
CAP,DSP_I,BE24	7600 	7600 	9500 	10732 	77221 	77221 	12500 	26986 
CAP,DSP_I,BE25	115906 	146560 	173291 	161363 	542713 	542713 	423000 	537373 
CAP,DSP_I,BE3	67410 	969150 e	969150 e	969150 e	969150 	969150 	969150 	954768 
CAP,DSP_I,BE31	0 	110303 e	110303 e	110303 e	110303 	110303 	110303 	86158 
CAP,DSP_I,BE32	50354 	605241 e	605241 e	605241 e	605241 	605241 	605241 	614458 
CAP,DSP_I,BE33	208 	245606 e	245606 e	245606 e	245606 	245606 	245606 	240952 
CAP,DSP_I,BE34	0 	0 e	0 e	0 e	0 	0 	0 	: 
CAP,DSP_I,BE35	16848 	8000 e	8000 e	8000 e	8000 	8000 	8000 	13200 
CAP,DSP_I,BG	28470 	28470 	28556 	: 	28340 	28375 	52519 	45846 
CAP,DSP_I,BG1	: 	: 	: 	: 	: 	: 	: 	471 
CAP,DSP_I,BG11	: 	: 	: 	: 	: 	: 	: 	16 
CAP,DSP_I,BG12	: 	: 	: 	: 	: 	: 	: 	165 
CAP,DSP_I,BG13	: 	: 	: 	: 	: 	: 	: 	291 
CAP,DSP_I,BG2	: 	: 	: 	: 	: 	: 	: 	45375 
CAP,DSP_I,BG21	: 	: 	: 	: 	: 	: 	: 	990 
CAP,DSP_I,BG22	: 	: 	: 	: 	: 	: 	: 	340 
CAP,DSP_I,BG23	: 	: 	: 	: 	: 	: 	: 	44045 
CAP,DSP_I,BG3	25000 	25000 	26056 	: 	25060 	25835 	51816 	: 
CAP,DSP_I,BG31	0 	0 	0 	: 	0 	739 	592 	: 
CAP,DSP_I,BG32	0 	0 	316 	: 	20 	72 	89 	: 
