"tra_meas,unit,geo\time"	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993
"PAS_CRD,THS_PAS,AT"	35644	31138	28326	27181	26754	26378	25749	25966	25137	23532	21815	23899	22926	20823	19684	18297	15799	14944	7640	7677	: 	6857	6323	5885	5528	4969	4644
"PAS_CRD,THS_PAS,AT1"	31635	27025	24333	23318	22740	22473	22041	22196	21106	19617	18045	19687	18719	16808	15802	14711	12709	11911	5886	5916	: 	5261	4800	4481	4190	3760	3496
"PAS_CRD,THS_PAS,AT12"	31635	27025	24333	23318	22740	22473	22041	22196	21106	19617	18045	19687	18719	16808	15802	14711	12709	11911	5886	5916	: 	5261	4800	4481	4190	3760	3496
"PAS_CRD,THS_PAS,AT2"	1245	1256	1169	1179	1186	1115	1131	1193	1337	1391	1335	1412	1383	1276	1380	1344	1146	1030	474	478	: 	422	407	361	350	325	298
"PAS_CRD,THS_PAS,AT21"	210	230	216	195	230	226	256	277	378	427	409	430	465	403	520	482	311	258	112	115	: 	112	110	99	100	102	100
"PAS_CRD,THS_PAS,AT22"	1035	1027	952	984	956	889	875	915	959	964	926	982	918	873	860	862	835	772	361	363	: 	311	298	262	249	224	198
"PAS_CRD,THS_PAS,AT3"	3311	3438	3377	3192	3353	3364	3193	3204	3351	3280	3118	3494	3482	3348	3070	2800	2486	2528	1281	1284	: 	1174	1116	1043	989	884	850
"PAS_CRD,THS_PAS,AT31"	430	459	391	432	523	553	545	611	660	642	641	757	730	720	689	708	589	599	339	355	: 	322	315	287	245	195	160
"PAS_CRD,THS_PAS,AT32"	1730	1854	1895	1749	1829	1823	1667	1663	1696	1613	1534	1784	1913	1844	1657	1379	1224	1284	613	596	: 	559	541	520	522	476	489
"PAS_CRD,THS_PAS,AT33"	1151	1124	1090	1011	1001	988	981	930	996	1025	943	953	840	785	725	713	675	646	329	333	: 	293	259	237	221	213	201
"PAS_CRD,THS_PAS,BE"	35384	34506	33259	30114	30955	28772	26386	25917	25098	22693	21313	21980	20800	19154	17814	17469	15096	13559	: 	21595	20002	18482	15923	13355	12505	11235	10029
"PAS_CRD,THS_PAS,BE2"	27021	26326	25384	22448	23722	22061	19311	19126	18923	17232	17058	18659	18047	16703	15951	15445	15096	13559	: 	21595	20002	18482	15923	13355	12505	11235	10029
"PAS_CRD,THS_PAS,BE21"	290	282	255	257	195	84	110	110	114	81	125	129	136	111	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BE24"	26287	25637	24776	21769	23269	21754	18985	18815	18613	16980	16785	18369	17745	16593	15951	15445	15096	13559	: 	21595	20002	18482	15923	13355	12505	11235	10029
"PAS_CRD,THS_PAS,BE25"	445	407	354	423	260	226	220	204	201	175	151	164	168	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BE3"	8363	8181	7877	7669	7239	6723	7086	6802	6186	5476	4269	3336	2771	2452	1863	2023	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BE32"	8197	8017	7688	7291	6945	6425	6776	6506	5883	5181	3919	2942	2443	2155	1863	2023	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BE33"	167	164	188	378	295	298	310	296	303	295	351	395	329	298	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BG"	11712	12137	11092	9324	7609	7519	7079	6819	6652	6168	5839	6418	6071	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BG3"	4918	5512	4884	4513	3706	3871	3754	3559	3385	3063	2892	3350	3440	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BG33"	2069	2264	1947	1669	1382	1372	1302	1210	1165	1200	1212	1430	1493	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BG34"	2858	3256	2950	2854	2334	2508	2461	2357	2227	1872	1684	1920	1947	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BG4"	7078	6932	6478	4964	4057	3808	3497	3456	3466	3278	3116	3205	2723	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,BG41"	7078	6932	6478	4964	4057	3808	3497	3456	3466	3278	3116	3205	2723	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CH"	48806	48287	46315	43776	41709	40306	39065	38493	37099	34264	32790	33098	31176	28814	26842	25312	24549	25460	: 	: 	27008	24742	23376	21329	20501	19357	18140
"PAS_CRD,THS_PAS,CH0"	48806	48287	46315	43776	41709	40306	39065	38493	37099	34264	32790	33098	31176	28814	26842	25312	24549	25459	: 	: 	27008	24742	23376	21329	20501	19357	18140
"PAS_CRD,THS_PAS,CH01"	17829	17590	17269	16448	15688	15059	14330	13790	13010	11752	11176	11322	10738	9821	9365	8572	8027	7649	: 	: 	6866	6349	5992	5963	6024	5804	5575
"PAS_CRD,THS_PAS,CH02"	22	137	168	167	175	178	245	258	169	86	95	92	89	98	78	129	144	190	: 	: 	214	183	174	155	132	95	59
"PAS_CRD,THS_PAS,CH03"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CH04"	31476	31070	29356	27627	26249	25451	24853	24788	24311	22849	21911	22074	20717	19298	17878	17133	16880	18072	: 	: 	20646	18905	17873	15798	14927	14044	13131
"PAS_CRD,THS_PAS,CH05"	107	113	110	99	92	84	86	116	95	68	73	91	99	98	95	102	103	119	: 	: 	70	61	58	57	45	35	30
"PAS_CRD,THS_PAS,CH06"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CH07"	56	89	136	168	156	136	143	167	165	159	157	180	187	186	181	147	164	255	: 	: 	352	340	321	383	384	349	328
"PAS_CRD,THS_PAS,CHZ"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CHZZ"	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CY"	11261	10927	10239	8962	7591	7329	7011	7328	7190	6948	6730	7218	7004	6714	6782	6422	6077	: 	6540	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CY0"	11261	10927	10239	8962	7591	7329	7011	7328	7190	6948	6730	7218	7004	6714	6782	6422	6077	: 	6540	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CY00"	11261	10927	10239	8962	7591	7329	7011	7328	7190	6948	6730	7218	7004	6714	6782	6422	6077	: 	6540	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CZ"	18833	17838	16262	13672	12672	12080	11892	11742	12651	12242	12367	13429	13098	12171	11266	: 	7761	6579	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CZ0"	18833	17838	16262	13672	12672	12080	11892	11742	12651	12242	12367	13429	13098	12171	11266	: 	7761	6579	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CZ01"	17839	16810	15386	12990	11868	11130	10950	10774	11724	11514	11602	12587	12359	11513	10721	: 	7432	6291	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CZ04"	62	43	20	19	35	82	101	101	96	68	62	76	61	33	36	: 	25	18	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CZ05"	99	143	85	28	54	145	179	124	59	59	43	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CZ06"	526	484	459	399	436	457	433	498	525	356	391	455	380	355	276	: 	146	132	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,CZ08"	307	357	312	237	280	266	229	246	246	244	270	311	298	270	232	: 	159	138	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE"	226760	222419	212386	200684	193932	186426	180776	178584	175306	166131	158149	165759	163970	154143	146131	135973	121197	114383	118289	120798	112191	104534	93979	87902	84943	64556	58845
"PAS_CRD,THS_PAS,DE1"	14477	13522	12634	12167	12042	11186	11096	11461	11180	10920	10548	11691	11916	11521	10574	9856	7657	7379	7520	7975	6342	5921	5617	5296	4065	3616	3259
"PAS_CRD,THS_PAS,DE11"	12700	11796	10942	10599	10487	9689	9545	9677	9535	9135	8875	9874	10269	10019	9246	8649	7416	7093	7520	7975	6342	5921	5617	5296	4065	3616	3259
"PAS_CRD,THS_PAS,DE12"	1334	1245	1236	1101	1045	947	1054	1278	1107	1215	1130	1199	1026	879	753	706	82	99	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE13"	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE14"	443	482	456	467	511	550	497	507	539	570	544	618	622	630	575	501	159	187	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE2"	53570	52002	49737	46471	44950	43440	42532	42509	42166	39350	37225	39014	38065	34542	32261	30126	27156	26067	26495	25843	19362	17402	16185	14190	13418	9236	8792
"PAS_CRD,THS_PAS,DE21"	47892	46206	44535	42159	40861	39571	38518	38186	37593	34520	32560	34400	33814	30607	28448	26601	23953	22878	23413	22869	17193	15442	14302	12468	11688	8219	7834
"PAS_CRD,THS_PAS,DE22"	: 	: 	: 	: 	: 	: 	: 	: 	: 	0	0	0	0	0	0	0	0	0	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE24"	: 	: 	: 	: 	: 	: 	: 	: 	: 	14	17	20	25	23	22	24	23	21	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE25"	4087	4436	4161	3449	3352	3237	3294	3569	3934	4020	3928	4229	4229	4000	3882	3549	3213	3111	3164	3052	2169	1960	1883	1722	1731	1017	958
"PAS_CRD,THS_PAS,DE27"	1719	1487	1176	993	869	747	837	867	755	903	806	460	85	1	13	45	58	137	: 	: 	: 	: 	: 	: 	: 	: 	: 
"PAS_CRD,THS_PAS,DE3"	24223	21991	20451	21245	20995	20669	19576	18148	16892	14966	14133	14713	13670	12392	12012	11412	11471	10403	10602	11021	7230	6755	618	515	539	374	389
"PAS_CRD,THS_PAS,DE30"	24223	21991	20451	21245	20995	20669	19576	18148	16892	14966	14133	14713	13670	12392	12012	11412	11471	10403	10602	11021	7230	6755	618	515	539	374	389
"PAS_CRD,THS_PAS,DE4"	11404	12713	12852	11625	8509	7274	6712	7081	7099	7255	6767	6615	6306	6013	5050	3336	1679	1608	1781	2090	1765	1796	1806	1686	1779	1704	1485
