unit,geo\time	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 
GDP_BEUR,AT	5.062 p	5.814 	5.974 	5.959 	5.578 	6.101 	6.581 	6.044 	5.989 	6.029 	5.701 	5.473 	5.551 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT1	3.438 p	3.762 	3.764 	3.905 	3.964 	4.99 	5.846 	5.043 	5.051 	5.254 	4.533 	4.228 	3.97 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT11	2.459 p	2.533 	3.591 	4.059 	3.372 	4.608 	4.848 	2.988 	3.7 	4.484 	2.668 	2.723 	3.957 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT111	1.063 p	3.525 	0.686 	1.383 	2.451 	0.234 	1.42 	: 	3.743 	4.262 	: 	1.616 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT112	2.697 p	2.42 	3.746 	3.863 	2.316 	5.635 	5.54 	4.529 	4.407 	4.254 	3.221 	2.913 	5.74 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT113	2.494 p	2.392 	4.314 	5.382 	5.634 	4.371 	4.9 	1.278 	2.381 	4.954 	2.72 	2.825 	2.463 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT12	4.723 p	4.725 	5.131 	5.221 	4.747 	4.897 	6.342 	6.07 	5.604 	5.769 	5.076 	5.11 	5.292 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT121	9.427 p	7.723 	8.508 	5.709 	3.786 	5.906 	7.764 	7.758 	7.246 	8.826 	6.919 	4.138 	5.609 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT122	4.097 p	4.17 	5.258 	5.448 	3.479 	4.158 	5.362 	6.234 	4.828 	5.719 	3.26 	2.99 	4.27 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT123	1.673 p	3.301 	3.435 	5.075 	5.214 	2.81 	4.603 	4.56 	5.272 	4.044 	4.904 	4.128 	5.542 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT124	3.613 p	2.594 	3.71 	5.143 	5.053 	3.244 	4.6 	7.068 	3.906 	3.43 	3.479 	4.408 	4.388 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT125	3.138 p	3.154 	1.703 	3.146 	2.54 	7.242 	7.597 	3.491 	4.695 	1.983 	2.77 	4.946 	4.676 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT126	6.385 p	5.165 	5.452 	5.554 	7.987 	7.24 	8.897 	8.415 	7.055 	8.543 	6.824 	8.287 	6.626 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
GDP_BEUR,AT127	3.662 p	4.985 	5.102 	5.135 	4.025 	4.56 	5.897 	4.554 	5.402 	5.203 	5.316 	5.729 	5.343 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
