unit,c_unload,c_load,geo\time	2015 	2010 	2005 
PAS,AT11,CH02,CH	72 	: 	: 
PAS,AT11,CH02,CY	: 	: z	: 
PAS,AT11,CH02,MT	: 	: z	: 
PAS,AT11,CH04,CH	185 	: 	: 
PAS,AT11,CH04,CY	: 	: z	: 
PAS,AT11,CH04,MT	: 	: z	: 
PAS,AT11,CH05,CH	1011 	: 	: 
PAS,AT11,CH05,CY	: z	: z	: 
PAS,AT11,CH05,MT	: z	: z	: 
PAS,AT11,CZ01,CZ	201 	90 	10 
PAS,AT11,CZ02,CZ	1 	: 	: 
PAS,AT11,CZ03,CZ	16 	: 	: 
PAS,AT11,CZ04,CZ	1 	: 	: 
PAS,AT11,CZ05,CZ	8 	10 	: 
PAS,AT11,CZ06,CZ	79 	40 	20 
PAS,AT11,CZ07,CZ	7 	: 	: 
PAS,AT11,CZ08,CZ	20 	: 	10 
PAS,AT11,DE11,DE	: 	: 	50 
PAS,AT11,DE12,DE	: 	: 	44 
PAS,AT11,DE13,DE	: 	: 	13 
PAS,AT11,DE14,DE	: 	: 	28 
PAS,AT11,DE21,DE	: 	: 	112 
PAS,AT11,DE22,DE	: 	: 	7 
PAS,AT11,DE23,DE	: 	: 	15 
PAS,AT11,DE24,DE	: 	: 	9 
PAS,AT11,DE25,DE	: 	: 	10 
PAS,AT11,DE26,DE	: 	: 	25 
PAS,AT11,DE27,DE	: 	: 	18 
PAS,AT11,DE30,DE	: 	: 	6 
PAS,AT11,DE42,DE	: 	: 	2 
PAS,AT11,DE50,DE	: 	: 	3 
PAS,AT11,DE60,DE	: 	: 	3 
PAS,AT11,DE71,DE	: 	: 	26 
PAS,AT11,DE72,DE	: 	: 	9 
PAS,AT11,DE73,DE	: 	: 	4 
PAS,AT11,DE80,DE	: 	: 	3 
PAS,AT11,DE91,DE	: 	: 	4 
PAS,AT11,DE92,DE	: 	: 	13 
PAS,AT11,DE93,DE	: 	: 	4 
PAS,AT11,DE94,DE	: 	: 	10 
PAS,AT11,DEA2,DE	: 	: 	10 
PAS,AT11,DEA3,DE	: 	: 	2 
PAS,AT11,DEA5,DE	: 	: 	10 
PAS,AT11,DEB1,DE	: 	: 	12 
PAS,AT11,DEB3,DE	: 	: 	9 
PAS,AT11,DEC0,DE	: 	: 	2 
PAS,AT11,DED1,DE	: 	: 	6 
PAS,AT11,DED2,DE	: 	: 	6 
PAS,AT11,DED3,DE	: 	: 	4 
PAS,AT11,DEE1,DE	: 	: 	2 
PAS,AT11,DEE2,DE	: 	: 	2 
PAS,AT11,DEE3,DE	: 	: 	3 
PAS,AT11,DEG0,DE	: 	: 	2 
PAS,AT11,HU10,CY	: z	: 	: 
PAS,AT11,HU10,HU	261334 	: 	79 
PAS,AT11,HU10,MT	: z	: 	: 
PAS,AT11,HU21,CY	: z	: 	: 
PAS,AT11,HU21,HU	1345 	: 	: 
PAS,AT11,HU21,MT	: z	: 	: 
PAS,AT11,HU22,CY	: z	: 	: 
PAS,AT11,HU22,HU	20279 	: 	3937 
PAS,AT11,HU22,MT	: z	: 	: 
PAS,AT11,HU23,CY	: z	: 	: 
PAS,AT11,HU23,HU	1347 	: 	: 
PAS,AT11,HU23,MT	: z	: 	: 
PAS,AT11,HU31,CY	: z	: 	: 
PAS,AT11,HU31,HU	23470 	: 	: 
PAS,AT11,HU31,MT	: z	: 	: 
PAS,AT11,HU32,CY	: z	: 	: 
PAS,AT11,HU32,HU	1343 	: 	: 
PAS,AT11,HU32,MT	: z	: 	: 
PAS,AT11,HU33,CY	: z	: 	: 
PAS,AT11,HU33,HU	1176 	: 	: 
PAS,AT11,HU33,MT	: z	: 	: 
PAS,AT11,ITC4,IT	: 	: 	: c
PAS,AT11,ITD3,IT	: 	: 	: c
PAS,AT11,ITD4,IT	: 	: 	: c
PAS,AT11,PL12,PL	: 	2 	4 
PAS,AT11,SI,SI	: 	: 	55 
PAS,AT11,SI01,SI	: 	2 	: 
PAS,AT11,SI03,SI	2 	: 	: 
PAS,AT11,SI04,SI	40 	: 	: 
PAS,AT11,SK01,SK	24730 	20506 	12681 
PAS,AT11,SK02,SK	22 	11 	12 
PAS,AT11,SK03,SK	: 	: 	5 
PAS,AT11,SK04,SK	14 	19 	8 
PAS,AT12,AT12,AT	97271 	: 	: 
PAS,AT12,AT12,CY	: z	: 	: 
PAS,AT12,AT12,MT	: z	: 	: 
PAS,AT12,AT13,AT	439917 	: 	: 
PAS,AT12,AT13,CY	: z	: 	: 
PAS,AT12,AT13,MT	: z	: 	: 
PAS,AT12,AT31,AT	93287 	: 	: 
PAS,AT12,AT31,CY	: z	: 	: 
PAS,AT12,AT31,MT	: z	: 	: 
PAS,AT12,AT32,AT	42434 	: 	: 
PAS,AT12,AT32,CY	: z	: 	: 
PAS,AT12,AT32,MT	: z	: 	: 
PAS,AT12,BE21,BE	2 	: 	2 
PAS,AT12,BE21,CY	: z	: 	: 
PAS,AT12,BE21,MT	: z	: 	: 
PAS,AT12,BE33,BE	2 	: 	2 
PAS,AT12,BE33,CY	: z	: 	: 
PAS,AT12,BE33,MT	: z	: 	: 
PAS,AT12,CH01,CH	313 	: 	: 
PAS,AT12,CH01,CY	: z	: 	: 
PAS,AT12,CH01,MT	: z	: 	: 
PAS,AT12,CH02,CH	2610 	: 	: 
PAS,AT12,CH02,CY	: z	: z	: 
PAS,AT12,CH02,MT	: z	: z	: 
PAS,AT12,CH03,CH	487 	: 	: 
PAS,AT12,CH03,CY	: z	: z	: 
PAS,AT12,CH03,MT	: z	: z	: 
PAS,AT12,CH04,CH	8765 	: 	: 
PAS,AT12,CH04,CY	: z	: z	: 
PAS,AT12,CH04,MT	: z	: z	: 
PAS,AT12,CH05,CH	2162 	: 	: 
PAS,AT12,CH05,CY	: z	: z	: 
PAS,AT12,CH05,MT	: z	: z	: 
PAS,AT12,CH06,CH	1812 	: 	: 
PAS,AT12,CH06,CY	: z	: z	: 
PAS,AT12,CH06,MT	: z	: z	: 
PAS,AT12,CZ01,CZ	4071 	1360 	480 
PAS,AT12,CZ02,CZ	28 	10 	10 
PAS,AT12,CZ03,CZ	2375 	1840 	370 
PAS,AT12,CZ04,CZ	71 	10 	30 
PAS,AT12,CZ05,CZ	190 	80 	40 
PAS,AT12,CZ06,CZ	11309 	7610 	9540 
PAS,AT12,CZ07,CZ	505 	210 	310 
PAS,AT12,CZ08,CZ	303 	180 	290 
PAS,AT12,DE11,DE	: 	: 	1061 
