unit,isced11,sex,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 
NR,ED5,F,AT	: 	40188 	40562 	41271 	41849 	41624 	41240 
NR,ED5,F,AT1	: 	17712 	17793 	17913 	18142 	17841 	17420 
NR,ED5,F,AT11	: 	1363 	1460 	1491 	1531 	1583 	1579 
NR,ED5,F,AT12	: 	7062 	6958 	7022 	7216 	7116 	6929 
NR,ED5,F,AT13	: 	9287 	9374 	9400 	9396 	9141 	8912 
NR,ED5,F,AT2	: 	7798 	7940 	8456 	8430 	8581 	8589 
NR,ED5,F,AT21	: 	2858 	2853 	3163 	3186 	3235 	3335 
NR,ED5,F,AT22	: 	4940 	5087 	5294 	5244 	5346 	5254 
NR,ED5,F,AT3	: 	14678 	14830 	14901 	15277 	15203 	15232 
NR,ED5,F,AT31	: 	6462 	6569 	6470 	6472 	6524 	6681 
NR,ED5,F,AT32	: 	2830 	2852 	2868 	3038 	3086 	3155 
NR,ED5,F,AT33	: 	3818 	3786 	3933 	4057 	3890 	3719 
NR,ED5,F,AT34	: 	1569 	1623 	1630 	1710 	1703 	1677 
NR,ED5,F,ATZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,ATZZ	: 	0 	0 	0 	0 	0 	0 
NR,ED5,F,BE	: 	13850 	14696 d	15351 d	15425 	15467 	14956 
NR,ED5,F,BE1	: 	381 	483 d	505 d	498 	491 	507 
NR,ED5,F,BE10	: 	381 	483 d	505 d	498 	491 	507 
NR,ED5,F,BE2	: 	13469 	14213 d	14846 d	14927 	14976 	14449 
NR,ED5,F,BE21	: 	3974 	4237 d	4328 d	4321 	4066 	3921 
NR,ED5,F,BE22	: 	1987 	1982 d	2061 d	2160 	2039 	2107 
NR,ED5,F,BE23	: 	2768 	3164 d	3581 d	3551 	4032 	3538 
NR,ED5,F,BE24	: 	1220 	1394 d	1407 d	1346 	1412 	1346 
NR,ED5,F,BE25	: 	3520 	3436 d	3469 d	3549 	3427 	3537 
NR,ED5,F,BE3	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BE31	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BE32	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BE33	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BE34	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BE35	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BEZ	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BEZZ	: 	0 	0 d	0 d	0 	0 	0 
NR,ED5,F,BG	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,BG3	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,BG31	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,BG32	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,BG33	: 	: z	: z	: z	: z	: z	: z
NR,ED5,F,BG34	: 	: z	: z	: z	: z	: z	: z
