unit,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PC_HH,AT11	57 	55 	63 	67 	73 	78 	80 	: 	83 	85 	89 	87 
PC_HH,AT12	52 	57 	62 	74 	75 	74 	76 	: 	83 	89 	85 	91 
PC_HH,AT13	61 	65 	68 	74 	82 	83 	83 	: 	88 	89 	90 	91 
PC_HH,AT21	47 	52 	57 	66 	76 	75 	73 	: 	84 	85 	84 	87 
PC_HH,AT22	52 	49 	63 	67 	77 	81 	78 	: 	82 	90 	87 	84 
PC_HH,AT31	54 	58 	62 	73 	77 	81 	79 	: 	86 	88 	89 	88 
PC_HH,AT32	54 	60 	64 	73 	80 	78 	84 	: 	86 	88 	89 	89 
PC_HH,AT33	53 	57 	64 	69 	72 	83 	79 	: 	84 	89 	88 	93 
PC_HH,AT34	53 	59 	65 	79 	79 	83 	81 	: 	88 	87 	91 	90 
PC_HH,BE10	56 	57 	65 	71 	75 	76 	78 	76 	86 	84 	84 	87 
PC_HH,BE21	64 	67 	73 	76 	77 	84 	85 	81 	85 	86 	86 	90 
PC_HH,BE22	69 	70 	77 	78 	80 	81 	87 	83 	85 	87 	84 	90 
PC_HH,BE23	69 	69 	73 	74 	77 	82 	84 	80 	83 	83 	84 	86 
PC_HH,BE24	69 	69 	78 	80 	80 	81 	87 	85 	85 	87 	87 	93 
PC_HH,BE25	60 	70 	72 	74 	72 	77 	81 	80 	80 	86 	85 	89 
PC_HH,BE31	63 	72 	73 	81 	87 	82 	87 	84 	87 	88 	87 	90 
PC_HH,BE32	47 	53 	63 	74 	65 	71 	73 	76 	74 	78 	79 	80 
PC_HH,BE33	52 	53 	63 	64 	70 	76 	76 	75 	82 	83 	83 	87 
PC_HH,BE34	56 	62 	67 	71 	73 	76 	79 	80 	86 	83 	82 	89 
PC_HH,BE35	56 	57 	63 	78 	73 	78 	81 	77 	78 	82 	79 	84 
PC_HH,BG31	12 	24 	24 	33 	38 	42 	45 	45 	58 	57 	65 	71 
PC_HH,BG32	17 	21 	23 	38 	47 	49 	58 	58 	62 	67 	67 	73 
PC_HH,BG33	20 	23 	17 	28 	48 	52 	56 	56 	67 	68 	74 	74 
PC_HH,BG34	17 	23 	22 	31 	50 	47 	52 	58 	59 	62 	70 	75 
PC_HH,BG41	31 	36 	37 	54 	59 	64 	63 	68 	64 	70 	75 	78 
PC_HH,BG42	17 	21 	24 	38 	50 	53 	55 	56 	63 	70 	72 	75 
PC_HH,CH01	: 	: 	: 	: 	: 	: 	85 	: 	: 	89 b	: 	96 
PC_HH,CH02	: 	: 	: 	: 	: 	: 	81 	: 	: 	89 b	: 	93 
PC_HH,CH03	: 	: 	: 	: 	: 	: 	87 	: 	: 	90 b	: 	97 
PC_HH,CH04	: 	: 	: 	: 	: 	: 	93 	: 	: 	91 b	: 	96 
PC_HH,CH05	: 	: 	: 	: 	: 	: 	87 	: 	: 	90 b	: 	96 
PC_HH,CH06	: 	: 	: 	: 	: 	: 	87 	: 	: 	90 b	: 	96 
PC_HH,CH07	: 	: 	: 	: 	: 	: 	77 	: 	: 	84 b	: 	92 
PC_HH,CY00	33 	47 	51 	56 	62 	64 	69 	71 	74 	79 	86 	89 
PC_HH,CZ01	53 	: 	62 	70 	79 	79 	88 	88 	91 	89 	93 	93 
PC_HH,CZ02	37 	: 	55 	65 	67 	76 	77 	82 	84 	87 	87 	88 
PC_HH,CZ03	34 	: 	51 	61 	69 	68 	75 	78 	82 	82 	86 	86 
PC_HH,CZ04	26 	: 	53 	58 	63 	62 	68 	65 	75 	78 	82 	79 
PC_HH,CZ05	37 	: 	47 	67 	67 	67 	70 	78 	79 	80 	82 	86 
PC_HH,CZ06	36 	: 	59 	66 	73 	71 	78 	73 	78 	83 	87 	88 
PC_HH,CZ07	33 	: 	54 	57 	65 	66 	76 	72 	74 	81 	83 	84 
PC_HH,CZ08	33 	: 	47 	61 	67 	64 	74 	72 	79 	81 	87 	90 
PC_HH,DK01	78 	80 	83 	86 	86 	87 	89 	83 	93 	93 	91 	93 
PC_HH,DK02	71 	71 	76 	82 	84 	86 	86 	86 	91 	89 	89 	90 
PC_HH,DK03	72 	74 	80 	80 	81 	85 	82 	87 	89 	92 	88 	92 
PC_HH,DK04	76 	76 	79 	85 	87 	90 	86 	83 	92 	92 	92 	93 
PC_HH,DK05	67 	74 	77 	86 	85 	89 	80 	81 	92 	92 	91 	92 
PC_HH,EE00	54 	61 	64 	65 	73 	78 	81 b	87 	85 	87 	89 	90 
