"prof_pos,sex,sectperf,unit,geo\time"	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	1989	1988	1987	1986	1985	1984	1983	1982	1981	1980
"TOTAL,T,TOTAL,PC_EMP_HC,AT"	: 	3.131	: 	3.1015	: 	2.9043	: 	2.7109	: 	2.4687	: 	2.3152	2.2196	: 	2.0321	: 	1.785	: 	: 	: 	1.4497	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT1"	: 	3.1786	: 	3.1982	: 	3.0642 b	: 	2.9355	: 	2.7526	: 	2.647	2.5744	: 	2.4884	: 	2.2088	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT11"	: 	0.9653	: 	0.9467	: 	0.891 b	: 	0.7491	: 	0.5942	: 	0.4826	0.4211	: 	0.453	: 	0.3951	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT12"	: 	1.3879	: 	1.3284	: 	1.1975 b	: 	1.0415	: 	0.922	: 	0.7796	0.7706	: 	0.6678	: 	0.5798	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT13"	: 	5.2779	: 	5.4215	: 	5.2648 b	: 	5.2275	: 	4.9844	: 	4.949	4.7675	: 	4.6838	: 	4.1298	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT2"	: 	3.7222	: 	3.727	: 	3.4055 b	: 	3.1044	: 	2.7271	: 	2.5271	2.3633	: 	2.1756	: 	1.8814	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT21"	: 	1.8006	: 	1.8017	: 	1.6983 b	: 	1.6441	: 	1.4973	: 	1.419	1.3705	: 	1.1819	: 	0.979	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT22"	: 	4.5564	: 	4.567	: 	4.1575 b	: 	3.7463	: 	3.2779	: 	3.0211	2.8026	: 	2.619	: 	2.2995	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT3"	: 	2.6144	: 	2.4998	: 	2.3152 b	: 	2.12	: 	1.8919	: 	1.7359	1.6768	: 	1.5128	: 	1.2698	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT31"	: 	2.7035	: 	2.656	: 	2.4214 b	: 	2.1595	: 	1.8845	: 	1.7433	1.6893	: 	1.44	: 	1.1991	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT32"	: 	2.3913	: 	2.2086	: 	1.9978 b	: 	1.8145	: 	1.598	: 	1.3711	1.3546	: 	1.2492	: 	1.0468	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT33"	: 	2.9596	: 	2.7986	: 	2.7426 b	: 	2.6267	: 	2.348	: 	2.2685	2.1507	: 	2.0682	: 	1.7328	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,AT34"	: 	1.9402	: 	1.7428	: 	1.5277 b	: 	1.4299	: 	1.4552	: 	1.2052	1.1839	: 	1.1169	: 	0.9944	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE"	: 	2.8123	: 	2.5245	: 	2.2391	: 	2.1124	1.9951	2.0226	1.9652	1.9213	1.9026	1.8697	1.8556	1.8193	1.8084	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE1"	: 	4.8063	: 	4.4542	: 	4.2235	: 	3.7017	3.6248	3.9054	3.8867	3.9464	3.9461	3.6279	3.6028	3.6258	3.8101	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE10"	: 	4.8063	: 	4.4542	: 	4.2235	: 	3.7017	3.6248	3.9054	3.8867	3.9464	3.9461	3.6279	3.6028	3.6258	3.8101	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE2"	: 	2.7733	: 	2.5125	: 	2.203	: 	2.0362	1.9455	1.9296	1.8784	1.8123	1.7993	1.7924	1.783	1.7059	1.6902	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE21"	: 	: c	: 	2.3764	: 	2.032	: 	2.105	1.9562	1.9469	1.8723	1.9239	1.9556	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE22"	: 	: c	: 	1.4745	: 	1.1259	: 	0.9372	0.8908	0.9181	0.8716	0.8554	0.8216	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE23"	: 	: c	: 	2.8795	: 	2.6154	: 	2.3376	2.2521	2.1648	2.0705	1.9697	1.8985	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE24"	: 	: c	: 	4.3118	: 	3.8795	: 	3.5696	3.5435	3.4875	3.4978	3.1739	3.1662	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
"TOTAL,T,TOTAL,PC_EMP_HC,BE25"	: 	: c	: 	1.2666	: 	1.1075	: 	0.8923	0.7963	0.8517	0.8312	0.8571	0.8562	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
